Title,Description,Preconditions,Test Step #,Test Step Action,Test Step Expected Result,Test Type,Design Technique,API Path,HTTP Method,Priority,Created Date
Negative Case - Create User with Non-integer User ID,Send a request with user ID set to a non-integer value.,User is logged in and authorized.,1,Send request with id set to 'abc'.,Response code 400 and error message indicating invalid user ID.,Negative,EP,/user,POST,Medium,2025-11-16T16:05:19.163261
Negative Case - Create User with Invalid Token,Send a request with an invalid authorization token.,User is logged in and has an invalid token.,1,Send request with invalid token in authorization header.,Response code 401 and error message indicating unauthorized access.,Negative,Error Guessing,/user,POST,High,2025-11-16T16:05:19.163267
Negative Case - Create User with Expired Token,Send a request with an expired authorization token.,User is logged in and has an expired token.,1,Send request with expired token in authorization header.,Response code 401 and error message indicating unauthorized access.,Negative,Error Guessing,/user,POST,High,2025-11-16T16:05:19.163273
Negative Case - Create User with Missing Authorization Token,Send a request without authorization token.,User is logged in.,1,Send request without authorization header.,Response code 401 and error message indicating unauthorized access.,Negative,Error Guessing,/user,POST,High,2025-11-16T16:05:19.163278
Negative Case - Create User with Duplicate User ID,Send a request to create a user with a duplicate ID.,User is logged in and the ID already exists.,1,Send request with an existing user ID.,Response code 409 and error message indicating duplicate user ID.,Negative,EP,/user,POST,High,2025-11-16T16:05:19.163284
Negative Case - Create User with User Status Above Maximum,Send a request with userStatus greater than maximum limit.,User is logged in and authorized.,1,Send request with userStatus set to 2147483648.,Response code 400 and error message indicating invalid userStatus.,Negative,BVA,/user,POST,Medium,2025-11-16T16:05:19.163291
Negative Case - Create User with User Status Below Minimum,Send a request with userStatus below minimum limit.,User is logged in and authorized.,1,Send request with userStatus set to -2147483649.,Response code 400 and error message indicating invalid userStatus.,Negative,BVA,/user,POST,Medium,2025-11-16T16:05:19.163300
Positive Case - Update Pet with Minimum Required Fields,Update pet with only required fields: name and photoUrls.,Pet with ID exists.,1,"Send a PUT request to /pet with { 'name': 'doggie', 'photoUrls': ['url1'] }","Response code 200, pet updated successfully.",Positive,EP,/pet,PUT,High,2025-11-16T16:05:19.789628
Positive Case - Update Pet with Valid Enum Status,Update pet with each valid status value.,Pet with ID exists.,1,Send a PUT request with status 'available',"Response code 200, pet status updated to 'available'.",Positive,EP,/pet,PUT,High,2025-11-16T16:05:19.789678
,,,2,Send a PUT request with status 'pending',"Response code 200, pet status updated to 'pending'.",Positive,EP,/pet,PUT,High,
,,,3,Send a PUT request with status 'sold',"Response code 200, pet status updated to 'sold'.",Positive,EP,/pet,PUT,High,
Positive Case - Update Pet with Full Optional Fields,Update pet with all optional fields filled.,Pet with ID exists.,1,"Send a PUT request with all fields: { 'id': 1, 'name': 'doggie', 'category': { 'id': 1, 'name': 'Dog' }, 'photoUrls': ['url1', 'url2'], 'tags': [{ 'id': 1, 'name': 'tag1' }], 'status': 'available' }","Response code 200, pet updated successfully.",Positive,EP,/pet,PUT,High,2025-11-16T16:05:19.789692
Negative Case - Missing Required Field: Name,Attempt to update pet without required field name.,Pet with ID exists.,1,Send a PUT request with { 'photoUrls': ['url1'] },"Response code 400, 'name' field is required.",Negative,EP,/pet,PUT,High,2025-11-16T16:05:19.789704
Negative Case - Missing Required Field: PhotoUrls,Attempt to update pet without required field photoUrls.,Pet with ID exists.,1,Send a PUT request with { 'name': 'doggie' },"Response code 400, 'photoUrls' field is required.",Negative,EP,/pet,PUT,High,2025-11-16T16:05:19.789716
Negative Case - Invalid ID Supplied,Attempt to update pet with invalid ID.,None.,1,"Send a PUT request with { 'id': -1, 'name': 'doggie', 'photoUrls': ['url1'] }","Response code 400, 'Invalid ID supplied'.",Negative,EP,/pet,PUT,High,2025-11-16T16:05:19.789727
Negative Case - Pet Not Found,Attempt to update a pet that does not exist.,None.,1,"Send a PUT request with { 'id': 9999, 'name': 'doggie', 'photoUrls': ['url1'] }","Response code 404, 'Pet not found'.",Negative,EP,/pet,PUT,High,2025-11-16T16:05:19.789737
Negative Case - Invalid Enum Value for Status,Attempt to update pet with an invalid status.,Pet with ID exists.,1,"Send a PUT request with { 'name': 'doggie', 'photoUrls': ['url1'], 'status': 'invalid_status' }","Response code 400, 'Validation exception'.",Negative,EP,/pet,PUT,High,2025-11-16T16:05:19.789748
Negative Case - Invalid Type for ID,Send request with a string instead of an integer for ID.,Pet with ID exists.,1,"Send a PUT request with { 'id': 'string_id', 'name': 'doggie', 'photoUrls': ['url1'] }","Response code 400, invalid ID type.",Negative,Error Guessing,/pet,PUT,High,2025-11-16T16:05:19.789758
Negative Case - Special Characters in Name,Attempt to update pet with special characters in name.,Pet with ID exists.,1,"Send a PUT request with { 'name': '<script>alert(1)</script>', 'photoUrls': ['url1'] }","Response code 400, validation error due to special characters.",Negative,Error Guessing,/pet,PUT,High,2025-11-16T16:05:19.789769
Negative Case - Missing Authorization Token,Attempt to update pet without authorization.,None.,1,"Send a PUT request with { 'id': 1, 'name': 'doggie', 'photoUrls': ['url1'] } without authorization header.","Response code 401, 'Authorization required'.",Negative,Error Guessing,/pet,PUT,High,2025-11-16T16:05:19.789782
Negative Case - Invalid Token,Attempt to update pet with invalid authorization token.,None.,1,"Send a PUT request with { 'id': 1, 'name': 'doggie', 'photoUrls': ['url1'] } with invalid token.","Response code 401, 'Invalid token'.",Negative,Error Guessing,/pet,PUT,High,2025-11-16T16:05:19.789792
Negative Case - Expired Token,Attempt to update pet with expired authorization token.,None.,1,"Send a PUT request with { 'id': 1, 'name': 'doggie', 'photoUrls': ['url1'] } with expired token.","Response code 401, 'Token expired'.",Negative,Error Guessing,/pet,PUT,High,2025-11-16T16:05:19.789803
Negative Case - Update Pet with Large ID,Attempt to update pet with an excessively large ID.,None.,1,"Send a PUT request with { 'id': 999999999999999999999999, 'name': 'doggie', 'photoUrls': ['url1'] }","Response code 400, 'Invalid ID supplied'.",Negative,BVA,/pet,PUT,Medium,2025-11-16T16:05:19.789814
Negative Case - Boundary Value for ID: 0,"Attempt to update pet with ID of 0, which is not valid.",None.,1,"Send a PUT request with { 'id': 0, 'name': 'doggie', 'photoUrls': ['url1'] }","Response code 400, 'Invalid ID supplied'.",Negative,BVA,/pet,PUT,Medium,2025-11-16T16:05:19.789824
Negative Case - Boundary Value for ID: -1,"Attempt to update pet with ID of -1, which is invalid.",None.,1,"Send a PUT request with { 'id': -1, 'name': 'doggie', 'photoUrls': ['url1'] }","Response code 400, 'Invalid ID supplied'.",Negative,BVA,/pet,PUT,Medium,2025-11-16T16:05:19.789835
Negative Case - Boundary Value for ID: 1,"Attempt to update pet with ID of 1, which is valid.",Pet with ID 1 exists.,1,"Send a PUT request with { 'id': 1, 'name': 'doggie', 'photoUrls': ['url1'] }","Response code 200, pet updated successfully.",Negative,BVA,/pet,PUT,Medium,2025-11-16T16:05:19.789845
Negative Case - Boundary Value for ID: 2,"Attempt to update pet with ID of 2, which is valid.",Pet with ID 2 exists.,1,"Send a PUT request with { 'id': 2, 'name': 'doggie', 'photoUrls': ['url1'] }","Response code 200, pet updated successfully.",Negative,BVA,/pet,PUT,Medium,2025-11-16T16:05:19.789856
Negative Case - Boundary Value for ID: 3,"Attempt to update pet with ID of 3, which is valid.",Pet with ID 3 exists.,1,"Send a PUT request with { 'id': 3, 'name': 'doggie', 'photoUrls': ['url1'] }","Response code 200, pet updated successfully.",Negative,BVA,/pet,PUT,Medium,2025-11-16T16:05:19.789867
Negative Case - Boundary Value for Status: Min Length,Attempt to update pet with status less than minimum length.,Pet with ID exists.,1,"Send a PUT request with { 'name': 'doggie', 'photoUrls': ['url1'], 'status': '' }","Response code 400, validation error due to status length.",Negative,BVA,/pet,PUT,Medium,2025-11-16T16:05:19.789878
Negative Case - Boundary Value for Status: Max Length,Attempt to update pet with status exceeding maximum length.,Pet with ID exists.,1,"Send a PUT request with { 'name': 'doggie', 'photoUrls': ['url1'], 'status': 'a' * 256 }","Response code 400, validation error due to status length.",Negative,BVA,/pet,PUT,Medium,2025-11-16T16:05:19.789890
Negative Case - SQL Injection in Name,Attempt to update pet with SQL injection in name.,Pet with ID exists.,1,"Send a PUT request with { 'name': ""' OR '1'='1"" , 'photoUrls': ['url1'] }","Response code 400, validation error due to SQL injection.",Negative,Error Guessing,/pet,PUT,High,2025-11-16T16:05:19.789900
Negative Case - XSS in Name,Attempt to update pet with XSS in name.,Pet with ID exists.,1,"Send a PUT request with { 'name': ""<script>alert('XSS')</script>"", 'photoUrls': ['url1'] }","Response code 400, validation error due to XSS.",Negative,Error Guessing,/pet,PUT,High,2025-11-16T16:05:19.789910
Negative Case - Command Injection in Name,Attempt to update pet with command injection in name.,Pet with ID exists.,1,"Send a PUT request with { 'name': ""; rm -rf /"", 'photoUrls': ['url1'] }","Response code 400, validation error due to command injection.",Negative,Error Guessing,/pet,PUT,High,2025-11-16T16:05:19.789920
Negative Case - Path Traversal in Name,Attempt to update pet with path traversal in name.,Pet with ID exists.,1,"Send a PUT request with { 'name': ""../../../etc/passwd"", 'photoUrls': ['url1'] }","Response code 400, validation error due to path traversal.",Negative,Error Guessing,/pet,PUT,High,2025-11-16T16:05:19.789932
Negative Case - Invalid Email Format in Name,Attempt to update pet with invalid email format in name.,Pet with ID exists.,1,"Send a PUT request with { 'name': ""invalid-email-format"", 'photoUrls': ['url1'] }","Response code 400, validation error due to invalid email format.",Negative,Error Guessing,/pet,PUT,High,2025-11-16T16:05:19.789944
Positive Case - Create Users with Valid Data,Creating a list of users with all valid fields.,None,1,Send POST request with valid user data.,"HTTP 200 OK, successful operation.",Positive,EP,/user/createWithList,POST,High,2025-11-16T16:06:59.920475
Positive Case - Create User with Minimum Required Fields,Creating a user with only required fields filled.,None,1,Send POST request with a user having only 'username' and 'password'.,"HTTP 200 OK, successful operation.",Positive,EP,/user/createWithList,POST,High,2025-11-16T16:06:59.920539
Positive Case - Validate User ID Boundary Values,Testing boundary values for 'id' field.,None,1,Send POST request with 'id' = 0.,"HTTP 200 OK, successful operation.",Positive,BVA,/user/createWithList,POST,Medium,2025-11-16T16:06:59.920555
,,,2,Send POST request with 'id' = 1.,"HTTP 200 OK, successful operation.",Positive,BVA,/user/createWithList,POST,Medium,
,,,3,Send POST request with 'id' = 2147483647.,"HTTP 200 OK, successful operation.",Positive,BVA,/user/createWithList,POST,Medium,
Negative Case - User ID Below Minimum,Testing with 'id' field below minimum value.,None,1,Send POST request with 'id' = -1.,"HTTP 400 Bad Request, validation error.",Negative,BVA,/user/createWithList,POST,High,2025-11-16T16:06:59.920566
Negative Case - User ID Exceeds Maximum,Testing with 'id' field above maximum value.,None,1,Send POST request with 'id' = 2147483648.,"HTTP 400 Bad Request, validation error.",Negative,BVA,/user/createWithList,POST,High,2025-11-16T16:06:59.920577
Negative Case - User ID as Non-numeric Value,Testing with 'id' field as a string.,None,1,Send POST request with 'id' = 'abc'.,"HTTP 400 Bad Request, validation error.",Negative,Error Guessing,/user/createWithList,POST,High,2025-11-16T16:06:59.920587
Negative Case - Username Empty,Testing with 'username' field as an empty string.,None,1,Send POST request with 'username' = ''.,"HTTP 400 Bad Request, validation error.",Negative,EP,/user/createWithList,POST,High,2025-11-16T16:06:59.920597
Negative Case - Username Null,Testing with 'username' field as null.,None,1,Send POST request with 'username' = null.,"HTTP 400 Bad Request, validation error.",Negative,EP,/user/createWithList,POST,High,2025-11-16T16:06:59.920608
Negative Case - Username Special Characters,Testing with 'username' field containing special characters.,None,1,Send POST request with 'username' = '<user>'.,"HTTP 400 Bad Request, validation error.",Negative,Error Guessing,/user/createWithList,POST,High,2025-11-16T16:06:59.920619
Negative Case - Email Invalid Format,Testing with 'email' field in invalid format.,None,1,Send POST request with 'email' = 'invalidemail.com'.,"HTTP 400 Bad Request, validation error.",Negative,Error Guessing,/user/createWithList,POST,High,2025-11-16T16:06:59.920629
Negative Case - Password Empty,Testing with 'password' field as an empty string.,None,1,Send POST request with 'password' = ''.,"HTTP 400 Bad Request, validation error.",Negative,EP,/user/createWithList,POST,High,2025-11-16T16:06:59.920639
Negative Case - Phone Invalid Format,Testing with 'phone' field in invalid format.,None,1,Send POST request with 'phone' = '123abc'.,"HTTP 400 Bad Request, validation error.",Negative,Error Guessing,/user/createWithList,POST,High,2025-11-16T16:06:59.920649
Negative Case - User Status Negative Value,Testing with 'userStatus' field as negative value.,None,1,Send POST request with 'userStatus' = -1.,"HTTP 400 Bad Request, validation error.",Negative,EP,/user/createWithList,POST,High,2025-11-16T16:06:59.920660
Negative Case - User Status Exceeds Maximum,Testing with 'userStatus' field exceeding maximum value.,None,1,Send POST request with 'userStatus' = 2147483648.,"HTTP 400 Bad Request, validation error.",Negative,BVA,/user/createWithList,POST,High,2025-11-16T16:06:59.920670
Negative Case - User Status Non-numeric Value,Testing with 'userStatus' field as a string.,None,1,Send POST request with 'userStatus' = 'active'.,"HTTP 400 Bad Request, validation error.",Negative,Error Guessing,/user/createWithList,POST,High,2025-11-16T16:06:59.920680
Negative Case - Missing Required Field 'body',Testing without providing the required 'body' parameter.,None,1,Send POST request without 'body'.,"HTTP 400 Bad Request, validation error.",Negative,EP,/user/createWithList,POST,High,2025-11-16T16:06:59.920690
Negative Case - Missing All Required Fields,Testing without providing any required user fields.,None,1,Send POST request with an empty array in 'body'.,"HTTP 400 Bad Request, validation error.",Negative,EP,/user/createWithList,POST,High,2025-11-16T16:06:59.920701
Negative Case - Invalid Token,Testing with an invalid authorization token.,None,1,Send POST request with invalid API key in headers.,"HTTP 401 Unauthorized, invalid token.",Negative,Error Guessing,/user/createWithList,POST,High,2025-11-16T16:06:59.920711
Negative Case - Missing API Key,Testing without providing the required API key.,None,1,Send POST request without API key in headers.,"HTTP 401 Unauthorized, missing API key.",Negative,Error Guessing,/user/createWithList,POST,High,2025-11-16T16:06:59.920721
Negative Case - Expired API Key,Testing with an expired API key.,None,1,Send POST request with expired API key in headers.,"HTTP 401 Unauthorized, expired API key.",Negative,Error Guessing,/user/createWithList,POST,High,2025-11-16T16:06:59.920731
Negative Case - User Creation Conflict (Duplicate User),Testing creating a user that already exists.,User with the same username already exists.,1,Send POST request with a user that has a duplicate username.,"HTTP 409 Conflict, user already exists.",Negative,EP,/user/createWithList,POST,High,2025-11-16T16:06:59.920740
Negative Case - Invalid JSON Format,Testing with an invalid JSON format in request body.,None,1,Send POST request with malformed JSON in body.,"HTTP 400 Bad Request, invalid JSON format.",Negative,Error Guessing,/user/createWithList,POST,High,2025-11-16T16:06:59.920750
Positive Case - Create Multiple Users with Full Data,Creating multiple users with all fields filled correctly.,None,1,Send POST request with a list of multiple valid user objects.,"HTTP 200 OK, successful operation.",Positive,Pairwise Testing,/user/createWithList,POST,Medium,2025-11-16T16:06:59.920761
Negative Case - User Creation with Mixed Valid and Invalid Data,Testing creating users with a mix of valid and invalid fields.,None,1,Send POST request with a list containing one valid and one invalid user object.,"HTTP 400 Bad Request, validation error.",Negative,Decision Table Testing,/user/createWithList,POST,High,2025-11-16T16:06:59.920772
Positive case - valid user input array,Create users with a valid array of user objects.,None,1,Send POST request with a valid user array.,HTTP 200 OK response.,Positive,EP,/user/createWithArray,POST,High,2025-11-16T16:07:07.482343
Positive case - user with minimum valid fields,Create a user with only required fields.,None,1,Send POST request with user having only id and username.,HTTP 200 OK response.,Positive,EP,/user/createWithArray,POST,Medium,2025-11-16T16:07:07.482392
Positive case - user with maximum valid fields,Create a user with all fields filled.,None,1,Send POST request with user having all fields.,HTTP 200 OK response.,Positive,EP,/user/createWithArray,POST,Medium,2025-11-16T16:07:07.482407
Boundary value analysis - user ID minimum value,Test user creation with minimum valid user ID.,None,1,Send POST request with user ID as 0.,HTTP 200 OK response.,Positive,BVA,/user/createWithArray,POST,Medium,2025-11-16T16:07:07.482420
Boundary value analysis - user ID maximum value,Test user creation with maximum valid user ID.,None,1,Send POST request with user ID as 9223372036854775807.,HTTP 200 OK response.,Positive,BVA,/user/createWithArray,POST,Medium,2025-11-16T16:07:07.482432
Negative case - user ID minimum invalid value,Test user creation with user ID less than minimum (invalid).,None,1,Send POST request with user ID as -1.,HTTP 400 Bad Request response.,Negative,BVA,/user/createWithArray,POST,High,2025-11-16T16:07:07.482443
Negative case - user ID exceeds maximum,Test user creation with user ID exceeding maximum (invalid).,None,1,Send POST request with user ID as 9223372036854775808.,HTTP 400 Bad Request response.,Negative,BVA,/user/createWithArray,POST,High,2025-11-16T16:07:07.482454
Negative case - user ID as a string,Test user creation with user ID as a string.,None,1,Send POST request with user ID as 'string'.,HTTP 400 Bad Request response.,Negative,Error Guessing,/user/createWithArray,POST,High,2025-11-16T16:07:07.482464
Negative case - empty username,Test user creation with empty username.,None,1,Send POST request with username as an empty string.,HTTP 400 Bad Request response.,Negative,EP,/user/createWithArray,POST,High,2025-11-16T16:07:07.482474
Negative case - null username,Test user creation with null username.,None,1,Send POST request with username as null.,HTTP 400 Bad Request response.,Negative,EP,/user/createWithArray,POST,High,2025-11-16T16:07:07.482485
Negative case - username with special characters,Test user creation with username containing special characters.,None,1,Send POST request with username as '@username!'.,HTTP 400 Bad Request response.,Negative,Error Guessing,/user/createWithArray,POST,High,2025-11-16T16:07:07.482496
Negative case - username too long,Test user creation with username exceeding maximum length.,None,1,Send POST request with username as a string of 256 characters.,HTTP 400 Bad Request response.,Negative,BVA,/user/createWithArray,POST,High,2025-11-16T16:07:07.482506
Negative case - invalid email format,Test user creation with invalid email format.,None,1,Send POST request with invalid email format 'user@'.,HTTP 400 Bad Request response.,Negative,Error Guessing,/user/createWithArray,POST,High,2025-11-16T16:07:07.482517
Negative case - email is null,Test user creation with null email.,None,1,Send POST request with email as null.,HTTP 400 Bad Request response.,Negative,EP,/user/createWithArray,POST,High,2025-11-16T16:07:07.482528
Negative case - email is empty,Test user creation with empty email.,None,1,Send POST request with email as an empty string.,HTTP 400 Bad Request response.,Negative,EP,/user/createWithArray,POST,High,2025-11-16T16:07:07.482540
Negative case - email with special characters,Test user creation with email containing special characters.,None,1,Send POST request with email as 'user@domain.com<>',HTTP 400 Bad Request response.,Negative,Error Guessing,/user/createWithArray,POST,High,2025-11-16T16:07:07.482551
Negative case - password is null,Test user creation with null password.,None,1,Send POST request with password as null.,HTTP 400 Bad Request response.,Negative,EP,/user/createWithArray,POST,High,2025-11-16T16:07:07.482563
Negative case - password too short,Test user creation with password that is too short.,None,1,Send POST request with password as '123'.,HTTP 400 Bad Request response.,Negative,BVA,/user/createWithArray,POST,High,2025-11-16T16:07:07.482581
Negative case - phone is null,Test user creation with null phone number.,None,1,Send POST request with phone as null.,HTTP 400 Bad Request response.,Negative,EP,/user/createWithArray,POST,High,2025-11-16T16:07:07.482591
Negative case - phone with invalid format,Test user creation with invalid phone format.,None,1,Send POST request with phone as '123abc'.,HTTP 400 Bad Request response.,Negative,Error Guessing,/user/createWithArray,POST,High,2025-11-16T16:07:07.482611
Negative case - userStatus negative value,Test user creation with negative userStatus.,None,1,Send POST request with userStatus as -1.,HTTP 400 Bad Request response.,Negative,EP,/user/createWithArray,POST,High,2025-11-16T16:07:07.482623
Negative case - userStatus zero value,Test user creation with userStatus as zero.,None,1,Send POST request with userStatus as 0.,HTTP 200 OK response.,Negative,EP,/user/createWithArray,POST,Medium,2025-11-16T16:07:07.482634
Negative case - userStatus exceeds maximum,Test user creation with userStatus exceeding maximum.,None,1,Send POST request with userStatus as 2147483648.,HTTP 400 Bad Request response.,Negative,BVA,/user/createWithArray,POST,High,2025-11-16T16:07:07.482645
Negative case - userStatus as string,Test user creation with userStatus as a string.,None,1,Send POST request with userStatus as 'active'.,HTTP 400 Bad Request response.,Negative,Error Guessing,/user/createWithArray,POST,High,2025-11-16T16:07:07.482651
Negative case - missing required fields,Test user creation with missing required fields.,None,1,Send POST request with empty user array.,HTTP 400 Bad Request response.,Negative,EP,/user/createWithArray,POST,High,2025-11-16T16:07:07.482661
Negative case - invalid token,Test request with an invalid authorization token.,None,1,Send POST request with an invalid authorization token.,HTTP 401 Unauthorized response.,Negative,Error Guessing,/user/createWithArray,POST,High,2025-11-16T16:07:07.482667
Negative case - missing authorization token,Test request without an authorization token.,None,1,Send POST request without an authorization token.,HTTP 401 Unauthorized response.,Negative,Error Guessing,/user/createWithArray,POST,High,2025-11-16T16:07:07.482674
Negative case - expired authorization token,Test request with an expired authorization token.,None,1,Send POST request with an expired authorization token.,HTTP 401 Unauthorized response.,Negative,Error Guessing,/user/createWithArray,POST,High,2025-11-16T16:07:07.482680
Negative case - creating duplicate users,Test user creation with duplicate user IDs.,None,1,Send POST request with an array of users containing duplicate IDs.,HTTP 409 Conflict response.,Negative,Decision Table Testing,/user/createWithArray,POST,High,2025-11-16T16:07:07.482687
Negative case - unsupported media type,Test user creation with unsupported media type.,None,1,Send POST request with content type as 'text/plain'.,HTTP 415 Unsupported Media Type response.,Negative,Error Guessing,/user/createWithArray,POST,High,2025-11-16T16:07:07.482694
Positive case - Add a new pet with valid data,Add a pet with valid name and photoUrls,Authorization token is valid,1,"Send a POST request to /pet with body {""name"": ""doggie"", ""photoUrls"": [""url1""]}",Response code 200 and pet is added successfully.,Positive,EP,/pet,POST,High,2025-11-16T16:08:49.872484
Positive case - Add pet with category,Include category while adding a pet.,Authorization token is valid,1,"Send a POST request to /pet with body {""name"": ""doggie"", ""photoUrls"": [""url1""], ""category"": {""id"": 1, ""name"": ""Dogs""}}",Response code 200 and pet with category is added successfully.,Positive,EP,/pet,POST,High,2025-11-16T16:08:49.872541
Positive case - Add pet with tags,Include tags while adding a pet.,Authorization token is valid,1,"Send a POST request to /pet with body {""name"": ""doggie"", ""photoUrls"": [""url1""], ""tags"": [{""id"": 1, ""name"": ""cute""}]}",Response code 200 and pet with tags is added successfully.,Positive,EP,/pet,POST,High,2025-11-16T16:08:49.872551
Positive case - Add pet with status available,Include status as available while adding a pet.,Authorization token is valid,1,"Send a POST request to /pet with body {""name"": ""doggie"", ""photoUrls"": [""url1""], ""status"": ""available""}",Response code 200 and pet with status available is added successfully.,Positive,EP,/pet,POST,High,2025-11-16T16:08:49.872558
Positive case - Add pet with maximum values,Add pet with maximum allowed values.,Authorization token is valid,1,"Send a POST request to /pet with body {""name"": ""doggie"", ""photoUrls"": [""url1""], ""id"": 9223372036854775807}",Response code 200 and pet with maximum integer id is added successfully.,Positive,BVA,/pet,POST,High,2025-11-16T16:08:49.872564
Negative case - Add pet without name,Attempt to add a pet without providing the required name field.,Authorization token is valid,1,"Send a POST request to /pet with body {""photoUrls"": [""url1""]}",Response code 405 and error message about missing name.,Negative,EP,/pet,POST,High,2025-11-16T16:08:49.872571
Negative case - Add pet without photoUrls,Attempt to add a pet without providing the required photoUrls field.,Authorization token is valid,1,"Send a POST request to /pet with body {""name"": ""doggie""}",Response code 405 and error message about missing photoUrls.,Negative,EP,/pet,POST,High,2025-11-16T16:08:49.872577
Negative case - Invalid id type,Attempt to add a pet with a non-integer id.,Authorization token is valid,1,"Send a POST request to /pet with body {""name"": ""doggie"", ""photoUrls"": [""url1""], ""id"": ""invalid_id""}",Response code 405 and error message about invalid id type.,Negative,Error Guessing,/pet,POST,Medium,2025-11-16T16:08:49.872583
Negative case - status with invalid value,Attempt to add pet with an invalid status value.,Authorization token is valid,1,"Send a POST request to /pet with body {""name"": ""doggie"", ""photoUrls"": [""url1""], ""status"": ""invalid_status""}",Response code 405 and error message about invalid status value.,Negative,EP,/pet,POST,Medium,2025-11-16T16:08:49.872589
Negative case - Add pet with empty name,Attempt to add a pet with an empty name.,Authorization token is valid,1,"Send a POST request to /pet with body {""name"": """", ""photoUrls"": [""url1""]}",Response code 405 and error message about empty name.,Negative,BVA,/pet,POST,Medium,2025-11-16T16:08:49.872595
Negative case - Add pet with null name,Attempt to add a pet with null as name.,Authorization token is valid,1,"Send a POST request to /pet with body {""name"": null, ""photoUrls"": [""url1""]}",Response code 405 and error message about null name.,Negative,EP,/pet,POST,Medium,2025-11-16T16:08:49.872601
Negative case - Add pet with empty photoUrls,Attempt to add a pet with an empty photoUrls array.,Authorization token is valid,1,"Send a POST request to /pet with body {""name"": ""doggie"", ""photoUrls"": []}",Response code 405 and error message about empty photoUrls.,Negative,BVA,/pet,POST,Medium,2025-11-16T16:08:49.872607
Negative case - Add pet with special characters in name,Attempt to add a pet with special characters in name.,Authorization token is valid,1,"Send a POST request to /pet with body {""name"": ""doggie!@#$%^&*()"", ""photoUrls"": [""url1""]}",Response code 405 and error message about invalid characters in name.,Negative,Error Guessing,/pet,POST,Medium,2025-11-16T16:08:49.872613
Negative case - Add pet with invalid URL in photoUrls,Attempt to add a pet with a malformed URL in photoUrls.,Authorization token is valid,1,"Send a POST request to /pet with body {""name"": ""doggie"", ""photoUrls"": [""invalid_url""]}",Response code 405 and error message about invalid URL.,Negative,Error Guessing,/pet,POST,Medium,2025-11-16T16:08:49.872619
Negative case - Add pet with long name,Attempt to add a pet with a name longer than the allowed maximum length.,Authorization token is valid,1,"Send a POST request to /pet with body {""name"": ""a"" + ""b"".repeat(255), ""photoUrls"": [""url1""]}",Response code 405 and error message about name exceeding maximum length.,Negative,BVA,/pet,POST,Medium,2025-11-16T16:08:49.872626
Negative case - Invalid token,Attempt to add a pet with an invalid authorization token.,Invalid token is used,1,"Send a POST request to /pet with body {""name"": ""doggie"", ""photoUrls"": [""url1""]} and invalid token",Response code 401 and error message about unauthorized access.,Negative,Error Guessing,/pet,POST,High,2025-11-16T16:08:49.872632
Negative case - Missing authorization token,Attempt to add a pet without an authorization token.,No token is provided,1,"Send a POST request to /pet with body {""name"": ""doggie"", ""photoUrls"": [""url1""]} without token",Response code 401 and error message about missing authorization token.,Negative,Error Guessing,/pet,POST,High,2025-11-16T16:08:49.872637
Negative case - Expired token,Attempt to add a pet with an expired authorization token.,Expired token is used,1,"Send a POST request to /pet with body {""name"": ""doggie"", ""photoUrls"": [""url1""]} and expired token",Response code 401 and error message about expired token.,Negative,Error Guessing,/pet,POST,High,2025-11-16T16:08:49.872644
Negative case - Add pet with very large id,Attempt to add a pet with an overly large id value.,Authorization token is valid,1,"Send a POST request to /pet with body {""name"": ""doggie"", ""photoUrls"": [""url1""], ""id"": 9223372036854775808}",Response code 405 and error message about id exceeding maximum value.,Negative,EP,/pet,POST,Medium,2025-11-16T16:08:49.872649
Negative case - Add pet with decimal id,Attempt to add a pet with a decimal value for id.,Authorization token is valid,1,"Send a POST request to /pet with body {""name"": ""doggie"", ""photoUrls"": [""url1""], ""id"": 5.67}",Response code 405 and error message about invalid id type.,Negative,EP,/pet,POST,Medium,2025-11-16T16:08:49.872656
Negative case - Add pet with invalid category id,Attempt to add a pet with a non-integer category id.,Authorization token is valid,1,"Send a POST request to /pet with body {""name"": ""doggie"", ""photoUrls"": [""url1""], ""category"": {""id"": ""invalid_id"", ""name"": ""Dogs""}}",Response code 405 and error message about invalid category id.,Negative,Error Guessing,/pet,POST,Medium,2025-11-16T16:08:49.872664
Negative case - Add pet with invalid tag id,Attempt to add a pet with a non-integer tag id.,Authorization token is valid,1,"Send a POST request to /pet with body {""name"": ""doggie"", ""photoUrls"": [""url1""], ""tags"": [{""id"": ""invalid_id"", ""name"": ""cute""}]}",Response code 405 and error message about invalid tag id.,Negative,Error Guessing,/pet,POST,Medium,2025-11-16T16:08:49.872670
Negative case - Add pet with missing required fields,Attempt to add a pet with no required fields.,Authorization token is valid,1,Send a POST request to /pet with body {},Response code 405 and error message about missing required fields.,Negative,EP,/pet,POST,High,2025-11-16T16:08:49.872676
Negative case - Add pet with all optional fields empty,Attempt to add a pet with required fields filled but optional fields empty.,Authorization token is valid,1,"Send a POST request to /pet with body {""name"": ""doggie"", ""photoUrls"": []}",Response code 405 and error message about empty optional fields.,Negative,Decision Table Testing,/pet,POST,Medium,2025-11-16T16:08:49.872683
